agricolae
asbio
car
caret
DAAG
DescTools
devtools
dplyr
FNN
forcats
GGally
Ggally
ggplot2
gridExtra
huxtable
imputeMissings
investr
ISLR
ISLR
lawstat
leaps
lsmeans
MASS
multcomp
nCDunnett
olsrr
pairwiseCI
purrr
pwr
randomForest
readr
reshape2
rgl
scales
shiny
sjPlot
tidyr
tidyverse
tree
WDI
